bp position	mean quality score
1	29.5443892389
2	30.9135778531
3	32.9816979545
4	34.5145606973
5	35.2528561758
6	37.6624598176
7	38.0403533213
8	38.3975873225
9	38.6900374247
10	38.5303145363
11	38.7062151015
12	38.667609154
13	38.418955098
14	38.6267583526
15	38.3791740253
16	38.0971174076
17	38.3286740453
18	38.5128529598
19	38.2550053171
20	38.4160650287
21	38.2474316376
22	38.2215872162
23	38.4922637217
24	38.5157502357
25	38.5164422939
26	38.4682461718
27	38.4527754169
28	38.526978559
29	38.464590402
30	38.4203811027
31	38.2747883176
32	37.8711467807
33	37.7842003541
34	37.6071656512
35	37.4993367682
36	37.4372481352
37	37.4110404565
38	37.4356144905
39	37.4207346762
40	37.8963572471
41	38.1339622438
42	38.2995808015
43	38.285980608
44	38.43288702
45	38.4438691931
46	38.4161566876
47	38.4480960855
48	38.399109265
49	38.3845109583
50	38.3476296387
51	38.4199590665
52	38.4445441357
53	38.4402958487
54	38.2376766122
55	38.2697151008
56	38.3487935036
57	38.357283997
58	38.2858126042
59	38.2590844743
60	38.1916893111
61	38.1750031191
62	38.2238836423
63	38.2348311337
64	38.1563592109
65	38.1894115771
66	38.1178415441
67	38.1829938803
68	38.0839421779
69	38.0342405534
70	38.0896583579
71	38.0869486787
72	38.0226762226
73	37.9663285423
74	37.9713236125
75	37.9650338327
76	37.8541392197
77	36.9318729171
78	37.3301444156
79	37.7535313435
80	37.8391411722
81	37.9655581124
82	37.9716866447
83	37.9991647108
84	37.9096570157
85	37.8234517422
86	37.8243259921
87	37.7613140143
88	37.7794165272
89	37.752967878
90	37.6864305246
91	37.6472277811
92	37.5638941099
93	37.5341097087
94	37.5026396401
95	37.3158866205
96	37.3384121802
97	37.3429847639
98	37.2727182235
99	37.0243247309
100	37.1072160974
101	35.133793114
