bp position	mean quality score
1	30.1323707978
2	30.7542218824
3	33.7672743509
4	34.8493372772
5	35.2253985674
6	37.980041116
7	38.0227766381
8	38.3353684678
9	38.5222954635
10	38.4950648393
11	38.5741843352
12	38.5535649994
13	38.4404359766
14	38.4920088072
15	38.3779697341
16	38.1665235436
17	38.2333041989
18	38.3593285468
19	38.1692252151
20	38.2845254646
21	38.1613440884
22	38.16161641
23	38.2754112844
24	38.2724983616
25	38.3000091742
26	38.3051669205
27	38.2593051137
28	38.3075236878
29	38.3047829019
30	38.2371756882
31	38.1371470472
32	37.7844956833
33	37.6964861688
34	37.4784696135
35	37.3430059167
36	37.2246946154
37	37.1543114484
38	37.1578130627
39	37.1131083828
40	37.4221273039
41	37.6269015194
42	37.7869800456
43	37.7830253934
44	37.9552597141
45	37.9852319466
46	37.968822371
47	38.0148385528
48	37.9713082409
49	37.9585916037
50	37.9186548678
51	37.9979216942
52	38.0213065127
53	38.0179797488
54	37.8167004047
55	37.8438576241
56	37.9258936335
57	37.937129976
58	37.8605217046
59	37.825037831
60	37.7583937889
61	37.7341450244
62	37.7780074398
63	37.7877865397
64	37.7077350653
65	37.7414709001
66	37.6716518101
67	37.7359023004
68	37.629042869
69	37.5811697198
70	37.6285988217
71	37.6211022619
72	37.5537456883
73	37.4983360424
74	37.4967444618
75	37.4905578415
76	37.3716364412
77	36.4931822158
78	36.872580631
79	37.2944311728
80	37.4003887223
81	37.5265937316
82	37.5311452163
83	37.5577924392
84	37.4680487282
85	37.3732224026
86	37.3784014468
87	37.314862693
88	37.3188111506
89	37.2876194326
90	37.213830834
91	37.1741341578
92	37.0828300044
93	37.0518174677
94	37.0068777169
95	36.8312877418
96	36.8456237262
97	36.847227943
98	36.7674596447
99	36.5180007588
100	36.5934961161
101	34.6492213096
